Name,LocationPath
Bed,Bedroom/Bed
Bedding,Bedroom/Wardrobe/Left Top Shelf/Bedding
Towels,Bedroom/Wardrobe/Left Top Shelf/Towels
Book,Bedroom/Wardrobe/Right Bottom Shelf/Book
Headache Pill,Bedroom/Wardrobe/Right Top Shelf/Headache Pill
Gloves,Pantry/Cabinet/Right Middle Shelf/Gloves
Paper Towels,Pantry/Cabinet/Right Top Shelf/Paper Towels
Car,Garage/Car
Bicycle,Garage/Bicycle
Sprayer,Garage/Tool Cabinet/Bottom Shelf/Sprayer
Hammer Drill,Garage/Tool Cabinet/Top Shelf/Hammer Drill
Electric Screwdriver,Garage/Tool Cabinet/Top Shelf/Electric Screwdriver
